year,birth.day,birth.mass,v
1981,143,3.8,1.57865439366597
1981,141,5,1.0755542369826
1981,151,5.4,1.55897434079831
1981,153,7,1.3900802395358
1981,146,6.4,0.508992390104023
1981,145,3.8,1.55897434079831
1981,143,5.8,0.544025718826197
1981,149,4.7,1.3900802395358
1981,137,5.5,1.47726392227951
1981,136,6,1.57865439366597
1981,143,6,0.508992390104023
1981,127,6.5,1.36826960369436
1981,136,5.8,1.57865439366597
1981,137,5.9,1.3900802395358
1981,133,5,1.55897434079831
1981,147,5,1.57865439366597
1981,133,5.5,0.397186398930446
1981,141,5.4,1.0755542369826
1981,132,5.2,1.36826960369436
1981,133,5.8,1.22531989626951
1981,130,5.8,1.36826960369436
1981,142,5.8,1.3900802395358
1981,143,5.8,0.508992390104023
1981,134,6.1,1.22531989626951
1981,145,6,1.3900802395358
1981,146,6.1,0.508992390104023
1981,140,4.8,0.508992390104023
1981,130,5.3,1.36826960369436
1981,131,5.7,1.36826960369436
1981,142,4.8,0.508992390104023
1981,136,5.6,1.36826960369436
1981,142,4.6,0.508992390104023
1981,137,5.2,1.47726392227951
1981,133,5.2,1.22531989626951
1981,138,5.4,1.57865439366597
1981,139,4.9,1.57865439366597
1981,139,4.3,0.508992390104023
1981,131,4.5,1.36826960369436
1981,147,5.5,1.47726392227951
1981,142,5.3,1.55897434079831
1981,142,4.2,1.3900802395358
1981,145,6.1,0.508992390104023
1981,131,5.8,1.57865439366597
1981,130,5.9,1.47726392227951
1981,142,4,0.508992390104023
1981,144,2.5,0.508992390104023
1981,135,6.6,1.36826960369436
1981,147,4.6,1.3900802395358
1981,151,5.1,1.3900802395358
1981,144,5.7,0.508992390104023
1981,144,4.5,0.508992390104023
1981,146,4.8,1.47726392227951
1981,144,2.6,0.508992390104023
1981,142,4.4,1.3900802395358
1981,134,5.2,1.47726392227951
1981,144,5.6,1.55897434079831
1981,136,5,0.508992390104023
1981,144,3.8,1.55897434079831
1981,138,3.5,0.508992390104023
1981,155,4.8,1.3900802395358
1981,137,4.9,1.3900802395358
1981,133,4.8,1.47726392227951
1981,147,4.6,0.508992390104023
1981,146,5.2,0.508992390104023
1981,131,5.1,1.36826960369436
1981,139,4.5,0.508992390104023
1981,136,4.9,1.55897434079831
1981,142,5.5,1.3900802395358
1981,141,5.4,0.508992390104023
1981,142,4.6,1.47726392227951
1981,147,5.4,0.508992390104023
1981,144,4.6,1.55897434079831
1981,147,3.6,1.3900802395358
1981,151,4.8,0.508992390104023
1981,135,6.3,1.57865439366597
1981,139,4.3,1.36826960369436
1981,140,5.5,1.47726392227951
1981,148,3.8,1.57865439366597
1981,141,3.1,0.508992390104023
1981,140,5.1,1.36826960369436
1981,150,3.9,0.508992390104023
1981,128,6.3,1.57865439366597
1981,134,6,0.508992390104023
1981,138,5.5,1.36826960369436
1981,148,4.8,0.508992390104023
1981,138,5,1.36826960369436
1981,137,4.3,1.36826960369436
1981,146,6.2,1.55897434079831
1981,140,5.3,1.57865439366597
1981,144,4.9,0.508992390104023
1981,147,5.1,1.55897434079831
1981,148,4.1,0.508992390104023
1981,133,5.8,1.47726392227951
1981,143,5.4,0.508992390104023
1981,144,5.1,1.57865439366597
1981,143,3.5,0.508992390104023
1981,144,4.8,1.57865439366597
1981,145,5.5,0.508992390104023
1981,138,5,0.508992390104023
1981,155,4.8,1.3900802395358
1981,133,5.8,1.55897434079831
1981,143,4.8,0.508992390104023
1981,131,6,1.47726392227951
1981,127,7,1.47726392227951
1982,132,7,1.36826960369436
1982,144,5.4,0.508992390104023
1982,138,6.9,1.47726392227951
1982,132,6.1,0.508992390104023
1982,138,5.4,1.47726392227951
1982,134,6.2,1.0755542369826
1982,140,5.1,1.55897434079831
1982,149,4.3,0.508992390104023
1982,136,6.3,1.55897434079831
1982,134,5.3,1.55897434079831
1982,147,5.1,1.47726392227951
1982,141,5,0.878130620527796
1982,151,5.4,1.47726392227951
1982,153,7,1.57865439366597
1982,145,3.8,1.47726392227951
1982,143,5.8,0.397186398930446
1982,137,5.5,1.36826960369436
1982,136,6,1.55897434079831
1982,143,5,0.508992390104023
1982,132,4.1,0.508992390104023
1982,140,5.7,0.508992390104023
1982,127,6.5,1.22531989626951
1982,136,5.8,1.55897434079831
1982,141,4.8,0.508992390104023
1982,137,5.9,1.57865439366597
1982,136,6.2,0.508992390104023
1982,133,5,1.47726392227951
1982,147,5,1.55897434079831
1982,141,5.4,0.878130620527796
1982,132,5.2,1.22531989626951
1982,155,5.3,0.508992390104023
1982,133,5.8,1.0755542369826
1982,130,5.8,1.22531989626951
1982,142,5.8,1.57865439366597
1982,165,3.1,0.508992390104023
1982,134,6.1,1.0755542369826
1982,145,6,1.57865439366597
1982,140,4.8,1.3900802395358
1982,145,4.9,0.508992390104023
1982,130,5.3,1.22531989626951
1982,145,5.5,0.508992390104023
1982,131,5.7,1.22531989626951
1982,135,6.3,0.508992390104023
1982,136,5.6,1.22531989626951
1982,137,5.2,1.36826960369436
1982,133,5.2,1.0755542369826
1982,138,5.4,1.55897434079831
1982,145,4.3,0.508992390104023
1982,151,6.1,0.508992390104023
1982,140,3.7,0.508992390104023
1982,131,4.5,1.22531989626951
1982,147,5.5,1.36826960369436
1982,142,5.3,1.47726392227951
1982,142,4.2,1.57865439366597
1982,147,5.4,0.508992390104023
1982,131,5.8,1.55897434079831
1982,130,5.9,1.36826960369436
1982,139,4.6,0.508992390104023
1982,135,6.6,1.22531989626951
1982,147,4.6,1.57865439366597
1982,151,5.1,1.57865439366597
1982,144,5.7,1.3900802395358
1982,146,4.8,1.36826960369436
1982,144,2.6,1.3900802395358
1982,140,4.4,0.508992390104023
